Customer_ID,Event_Timestamp,Event_Type,Event_Value
812,27-02-2024,login,2
838,04-01-2024,login,6
603,21-06-2024,email_open,9
1187,06-03-2024,sensor_trigger,7
318,24-04-2024,sensor_trigger,4
1482,05-02-2024,sensor_trigger,2
1277,23-01-2024,email_open,4
1225,19-01-2024,login,5
1556,09-02-2024,email_open,2
1765,12-03-2024,login,1
1699,23-05-2024,sensor_trigger,4
1189,27-02-2024,sensor_trigger,6
232,16-04-2024,login,1
328,18-01-2024,sensor_trigger,1
238,05-02-2024,email_open,9
1144,31-05-2024,login,5
950,08-05-2024,sensor_trigger,2
1887,01-01-2024,sensor_trigger,2
895,04-03-2024,sensor_trigger,4
1905,02-03-2024,sensor_trigger,2
619,19-04-2024,login,4
250,12-06-2024,login,6
1360,15-03-2024,sensor_trigger,7
1308,25-05-2024,email_open,6
198,16-01-2024,email_open,4
416,17-01-2024,email_open,3
732,24-01-2024,email_open,4
1419,07-04-2024,login,5
938,09-05-2024,login,4
1175,17-05-2024,email_open,3
1822,27-06-2024,login,1
1289,14-01-2024,email_open,3
1244,21-04-2024,sensor_trigger,5
1240,06-03-2024,sensor_trigger,6
1339,22-03-2024,email_open,4
1692,02-04-2024,login,1
216,12-03-2024,email_open,7
1359,10-04-2024,login,9
1383,18-02-2024,sensor_trigger,6
1650,30-03-2024,login,6
1185,06-02-2024,email_open,9
815,25-06-2024,sensor_trigger,4
610,09-06-2024,sensor_trigger,5
511,29-05-2024,login,5
918,10-03-2024,sensor_trigger,5
157,02-02-2024,sensor_trigger,8
162,28-01-2024,login,1
42,28-03-2024,sensor_trigger,3
1204,04-01-2024,email_open,8
303,06-03-2024,login,9
1354,17-03-2024,login,2
1587,19-04-2024,login,4
1014,18-02-2024,login,8
764,07-05-2024,email_open,5
1453,18-05-2024,login,1
1374,04-02-2024,email_open,6
120,15-06-2024,login,9
1099,17-05-2024,login,9
674,14-03-2024,sensor_trigger,1
661,09-03-2024,sensor_trigger,4
123,30-05-2024,email_open,1
653,03-02-2024,sensor_trigger,7
1206,03-05-2024,login,3
921,20-04-2024,email_open,2
1014,01-02-2024,sensor_trigger,8
1914,16-01-2024,login,9
789,08-03-2024,sensor_trigger,7
257,23-02-2024,sensor_trigger,6
1978,03-05-2024,sensor_trigger,6
1861,04-06-2024,sensor_trigger,9
757,21-04-2024,login,5
598,29-02-2024,sensor_trigger,5
1607,18-03-2024,email_open,2
1293,16-03-2024,email_open,6
1517,29-02-2024,sensor_trigger,6
1204,25-03-2024,email_open,6
791,21-04-2024,sensor_trigger,4
1173,20-03-2024,login,7
1542,27-04-2024,login,9
1172,20-06-2024,email_open,1
1868,02-01-2024,email_open,3
680,23-01-2024,sensor_trigger,9
1033,15-02-2024,sensor_trigger,5
1202,13-03-2024,sensor_trigger,6
796,23-02-2024,login,8
1419,11-03-2024,sensor_trigger,9
1652,04-05-2024,login,8
608,21-03-2024,email_open,3
331,09-01-2024,login,1
1880,10-03-2024,email_open,5
56,20-06-2024,login,7
1231,24-03-2024,login,2
105,14-03-2024,sensor_trigger,1
547,13-03-2024,email_open,4
1745,12-01-2024,login,3
793,01-02-2024,login,4
1905,10-06-2024,email_open,1
